token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49
0,punct,-0.0147197945,-0.010784406,-0.014802947,0.027490284,0.008292434,0.021003677,-0.005208186,-0.0038547327,-0.04265257,-0.02670472,-0.018496437,0.0034535518,0.008378412,-0.0075963126,-0.0044425586,-0.0050595365,-0.017225934,-0.040542822,-0.0064456156,0.0009970542,-0.0006633899,0.025020324,0.033700295,0.021142244,-0.0016834103,0.0025016547,0.021487402,-0.017639244,0.017653761,-0.009974155,-0.028540546,-0.012302124,-0.00074238307,-0.000720504,0.006532454,-0.004683326,-0.019751303,-0.03417267,0.039823495,0.014302727,0.023376212,-0.022809021,0.034590453,-0.021987302,0.009842172,-0.020210454,-0.014089623,-0.010818662,-0.017532123,0.03129687
1,punct,-0.023202168,-0.032178033,0.009371786,-0.041830957,0.011741926,-0.025265763,0.027894719,-0.009046024,0.02670044,0.028643344,0.0038850547,-0.038034163,-0.016293157,-0.017119262,-0.012438116,-0.0054008695,0.0010532149,0.024681006,0.0006745655,0.0036157626,-0.008769757,-0.00591898,-0.024449684,0.0045895446,0.0067989747,-0.0054372577,0.043479007,-0.006926086,-0.017163025,0.044807166,-0.0016362962,0.009381884,-0.018274631,0.0011225314,-0.028446047,-0.03369832,0.013360939,0.025724838,0.015327749,-0.01684543,0.019256728,0.01899465,-0.017231047,0.0054500964,-0.033029146,-0.0052287863,-0.018827284,-0.012763548,0.011210622,-0.015479757
2,punct,0.0059110653,-0.015529996,0.0011232469,-0.006176408,0.016334023,-0.021091685,0.0106716715,-0.029883863,0.03463886,-0.0033965104,0.016614044,-0.0068073855,0.005170374,0.021401968,0.006082461,0.013256237,-0.010806916,0.009768986,0.0024605338,0.015214662,0.007907217,-3.8130229e-06,-0.0007176857,-0.015100832,0.016680492,0.028862657,-0.009195554,0.011895392,0.006485405,0.033168517,0.007058566,0.02490674,0.034849267,-0.02125185,0.0018453758,-0.0061248993,0.0042239875,-0.02195967,0.03174372,-0.04745877,0.006781676,-0.025957558,0.020977285,-0.047039576,-0.02039822,0.01375975,-0.022459399,0.011329039,-0.014408139,-0.017509988
3,punct,-0.0038259546,0.0014486533,0.0010809171,0.018959774,0.00028429626,-0.007890506,0.023204396,-0.008410858,0.02097835,-0.0039951564,0.0062083285,-0.0007035749,-0.0059832446,0.0007928407,-0.0044233343,-0.011569576,-0.004722929,0.0391441,-0.008115716,0.0011034755,-0.016404215,-0.02822573,-0.0021116564,0.020786058,-0.000120779245,0.02511973,-0.016794315,-0.00395806,0.0034494016,0.0028752729,0.020183776,0.008096039,-0.016064432,0.0034237744,-0.011076487,-0.013639698,-0.006679578,0.0009031379,-0.03020106,0.014146111,-0.000623645,-0.020933876,-0.041215803,-0.013705753,0.017702918,0.009130544,-0.003232323,-0.02153663,-0.0032870402,-0.014684756
4,punct,0.019660898,0.0077489964,-0.010619509,0.013595828,0.0032547666,-0.0046853274,-0.018192613,0.0021314449,0.00034727814,0.003226253,0.0053859865,-0.011014302,-0.003191809,0.031904135,-0.009849465,0.03926404,-0.012587477,-0.014366825,0.019957643,-0.009434844,0.02245451,-0.007773238,-0.011563005,-0.0034843397,-0.036560677,0.041346405,-0.011300695,-0.028700743,-0.008903132,0.02268804,0.008811635,0.003478815,-0.011809618,0.011042271,-0.011717473,-0.01774981,-0.013269297,-0.012053577,0.036715683,-0.008487049,0.001475769,0.006007817,-0.014614089,-0.0062064636,-0.012161613,0.0026896724,0.0066323904,-0.018218689,-0.005596329,-0.005279096
5,punct,0.01250446,0.011947112,-0.017543226,-0.0020398458,-0.0068541104,-0.007958692,-0.019170448,0.005098728,-0.008232418,-0.022073792,0.016199982,0.0025173184,0.009977775,0.011513238,0.002032786,0.012644032,-0.0032297957,0.012338973,0.0038312243,-0.006958752,-0.03884593,0.01822987,0.011493685,0.017556908,0.02611472,-0.001977733,0.03731856,-0.03361705,0.020044848,-0.019351657,-0.019293614,0.011441741,0.0143589275,-0.020788169,-0.016869023,0.023385266,-0.004598943,-0.03164171,-0.019641427,-0.00469863,-0.014768715,-0.010003019,-0.0028333615,-0.023639524,-0.02727708,0.016518686,-0.005773871,-0.010430486,0.005376546,-0.011612119
6,punct,-1.0529757,-0.92475295,-1.3290933,-0.17767133,3.2443576,0.7013956,-0.27663305,0.41948965,0.29883736,-0.6798672,-0.28035074,0.17371696,1.1030349,0.90363526,0.37603068,-0.46455872,0.30909264,0.37641492,-0.4101643,-0.048473615,-1.7170488,0.3306986,-0.15794648,-0.90195155,-1.2353421,-0.19672507,-0.022552162,0.39992836,-0.58176655,-0.6494601,1.5979571,0.3649496,-0.13089037,0.05137436,0.24291517,-0.12341118,1.0978905,-1.2863586,-0.25030085,-0.041384336,-0.18875551,0.28577992,0.09420449,-0.13878925,-0.98205346,-0.5322178,0.052909248,0.15922739,0.26532796,1.7336019
7,punct,-0.0066751335,-0.017388161,0.025084447,0.027341664,0.027528528,0.009678638,0.04012043,0.012593261,-0.00094979664,-0.017014861,-0.008919063,-0.034002375,0.004808615,-0.012909744,0.003905372,0.0047650444,0.015872367,0.0017057144,-0.008719712,0.011520893,-0.038052596,0.0074251965,-0.015990732,0.024519013,-0.0136642,0.007954949,-0.014064266,-0.014052083,-0.006493278,0.0034985098,0.004858531,0.024138663,0.0060420185,-0.02571248,-0.032915853,-0.009499629,0.01696235,-0.024447657,-0.005485653,0.039504398,-0.03483356,-0.0075506503,-0.006302711,0.008648217,-0.00084227364,0.007451815,-0.021353405,-0.0295198,-0.019451238,-0.012577019
8,punct,-0.006142695,0.012725466,-0.008872448,-0.012028781,-0.024913544,-0.021725364,-0.0029542455,0.0088763,-0.015430467,-0.027468912,-0.016791577,0.013385135,-0.01669311,-0.00998907,0.01557622,-0.013783315,-0.031524085,0.003906864,0.012585868,0.0075028273,0.007993491,0.017387632,0.00014070005,0.008127603,0.0016955994,-0.034939986,0.009020858,0.0016666324,0.003626812,0.0051678335,-0.00092257455,0.04099364,0.03258392,0.010508935,-0.010029591,-0.030653395,-0.018979944,0.004691538,0.04474986,-0.011616989,-0.03279999,0.016344624,-0.00974473,0.0110445805,0.0010899504,-0.021225737,0.037206862,0.0049631,0.0033240807,-0.0022667777
9,punct,-0.005273519,-0.004762148,0.024714619,-0.001110034,-0.04208321,-0.0074802884,0.011159199,0.00040174363,0.022541218,-0.031551726,-0.01136346,-0.028585808,0.010581532,0.005277162,-0.010819705,-0.009342417,-0.0005543294,-0.023249885,0.013380572,0.006252884,0.0187895,-0.029421112,-0.010601075,-0.021568948,-0.046773423,0.031789787,0.018892901,-0.0102918055,-0.0071759718,0.03127162,0.027480122,-0.04792573,0.024269234,-0.008962119,0.033043876,0.017653141,0.011572625,-0.020158267,-0.03093071,0.028403854,0.008575761,0.02792203,-0.02280173,0.017543238,0.012792109,-0.009173027,0.055509016,-0.03599049,0.0046972255,-0.027596716
